group,variable1,variable2,pearson_correlation,spearman_correlation,pearson_p_value,spearman_p_value,pearson_significant,spearman_significant,n_observations
CHOR1,wiek,hsCRP,0.024537057949763772,0.2781251502237758,0.9115136149434082,0.19879583395723088,FALSE,FALSE,23
CHOR1,wiek,ERY,-0.1645174013351985,-0.1090151258466407,0.45317520315156523,0.6204995315780313,FALSE,FALSE,23
CHOR1,wiek,PLT,0.08984429084623952,0.14846225694010448,0.6835117638888192,0.4990051091114821,FALSE,FALSE,23
CHOR1,wiek,HGB,-0.12705274903325803,-0.11663808876920001,0.5634713160933992,0.5961140363199493,FALSE,FALSE,23
CHOR1,wiek,HCT,-0.10835315335807881,-0.17809380581715348,0.6226359989404948,0.41621380074897196,FALSE,FALSE,23
CHOR1,wiek,MCHC,-0.3068689133823007,-0.2789950776416115,0.15437286512504694,0.19733662667408233,FALSE,FALSE,23
CHOR1,wiek,MON,-0.16103749789164748,-0.12472136298457952,0.4629173080827611,0.5707087879241013,FALSE,FALSE,23
CHOR1,wiek,LEU,-0.02160732691099014,0.09084240997285467,0.9220455811523381,0.6801755725092045,FALSE,FALSE,23
CHOR1,hsCRP,ERY,0.013526479858946134,0.20375865479723046,0.9511556096434765,0.3510615169825183,FALSE,FALSE,23
CHOR1,hsCRP,PLT,-0.23090012224160972,0.08158220274025385,0.2891386961450849,0.7113426797474443,FALSE,FALSE,23
CHOR1,hsCRP,HGB,-0.0639840569367418,-0.15081740274688304,0.7717844284540716,0.4921429172500299,FALSE,FALSE,23
CHOR1,hsCRP,HCT,-0.004569097026516889,-0.08558001745825558,0.9834924297050036,0.6978289220669862,FALSE,FALSE,23
CHOR1,hsCRP,MCHC,0.10545518020494178,0.03667914948091447,0.6320235066748661,0.8680367748856739,FALSE,FALSE,23
CHOR1,hsCRP,MON,0.4876985365827317,0.30925288298360804,0.018241979548860025,0.15103249693593357,TRUE,FALSE,23
CHOR1,hsCRP,LEU,0.3839633848514584,0.1749876634945866,0.07048335831063963,0.4245212486460703,FALSE,FALSE,23
CHOR1,ERY,PLT,0.2141719634680253,0.16192831149959477,0.3264436450411321,0.4604131990433905,FALSE,FALSE,23
CHOR1,ERY,HGB,0.5529638240663073,0.6285296685904584,0.006206875625020273,0.0013180914613470452,TRUE,TRUE,23
CHOR1,ERY,HCT,0.4755765610811802,0.6146426109357374,0.021813014636581488,0.0018041138070840962,TRUE,TRUE,23
CHOR1,ERY,MCHC,0.48560438168365416,0.43048434221857046,0.01882248048092836,0.040314690986820015,TRUE,TRUE,23
CHOR1,ERY,MON,-0.24378135355522249,-0.36293918346956244,0.2623082168686612,0.08873104072422619,FALSE,FALSE,23
CHOR1,ERY,LEU,0.10668181573707278,0.0800791002432854,0.6280432037587764,0.7164456689981988,FALSE,FALSE,23
CHOR1,PLT,HGB,-0.2982263710360654,-0.19757395356682944,0.1669178663394828,0.3661840832079185,FALSE,FALSE,23
CHOR1,PLT,HCT,-0.3296692796530967,-0.19683484108472152,0.1244937759705119,0.36801613690953217,FALSE,FALSE,23
CHOR1,PLT,MCHC,-0.20189719767655034,-0.14271599802783702,0.3555739647174523,0.5159433387313919,FALSE,FALSE,23
CHOR1,PLT,MON,0.10337191538565686,0.07989119191731266,0.6388061272971022,0.7170844432506911,FALSE,FALSE,23
CHOR1,PLT,LEU,0.2474612366144977,0.24857920205375342,0.254946439489033,0.252736533130702,FALSE,FALSE,23
CHOR1,HGB,HCT,0.9741009185420921,0.9747344607700442,4.863065576350178e-15,3.759938823578083e-15,TRUE,TRUE,23
CHOR1,HGB,MCHC,0.6696027439632395,0.6209979383455496,4.7452629218061387e-4,0.0015655454507326552,TRUE,TRUE,23
CHOR1,HGB,MON,-0.1736675448908385,-0.2874134216302496,0.4280789212594944,0.18359027548753704,FALSE,FALSE,23
CHOR1,HGB,LEU,-0.014093263132395555,0.008415858084239456,0.9491114656563732,0.9695993765794868,FALSE,FALSE,23
CHOR1,HCT,MCHC,0.5308371632787604,0.5352018456945845,0.00915736824238135,0.008498304048151953,TRUE,TRUE,23
CHOR1,HCT,MON,-0.12497761096123387,-0.2234595465600201,0.5699112983886079,0.3053889351234452,FALSE,FALSE,23
