dependent_variable,predictor,coefficient,std_error,t_statistic,p_value,significant,r_squared,adjusted_r_squared
wiek,(Intercept),29.732000000000035,1.0588553568201216,28.079378178044113,1.5996584332073736e-40,TRUE,0.035804625276374256,0.009021420422940296
wiek,grupaCHOR2,0.39999999999999136,1.4974476062064195,0.2671211989936243,0.790139481173675,FALSE,0.035804625276374256,0.009021420422940296
wiek,grupaKONTROLA,2.29199999999999,1.4974476062064195,1.5306044702334938,0.1302492416892679,FALSE,0.035804625276374256,0.009021420422940296
hsCRP,(Intercept),4.751700775999999,0.8212017717729004,5.786276819327248,1.7330731457732178e-7,TRUE,0.004873714696726803,-0.022768682117252803
hsCRP,grupaCHOR2,0.636853052000001,1.1613546830860515,0.5483708476618877,0.5851336423459914,FALSE,0.004873714696726803,-0.022768682117252803
hsCRP,grupaKONTROLA,0.5475892120000011,1.1613546830860515,0.4715090230186182,0.6387029668958668,FALSE,0.004873714696726803,-0.022768682117252803
ERY,(Intercept),4.23656,0.07880083248291225,53.762883798450815,7.269553035956761e-60,TRUE,0.04940568733398573,0.02300028975992985
ERY,grupaCHOR2,-0.043359999999999996,0.1114412060236249,-0.389084087898402,0.6983622926688093,FALSE,0.04940568733398573,0.02300028975992985
ERY,grupaKONTROLA,-0.20456,0.1114412060236249,-1.8355867394026089,0.07054831770875354,FALSE,0.04940568733398573,0.02300028975992985
PLT,(Intercept),224.83200000000005,10.32718296535894,21.77089345218022,2.125346882970237e-33,TRUE,0.02022341399573832,-0.0069926022821578115
PLT,grupaCHOR2,-16.875999999999994,14.604842210719017,-1.1555071774492773,0.2517030147648792,FALSE,0.02022341399573832,-0.0069926022821578115
PLT,grupaKONTROLA,-3.5240000000000005,14.604842210719017,-0.24128983724408953,0.8100163226519185,FALSE,0.02022341399573832,-0.0069926022821578115
HGB,(Intercept),12.411412499999999,0.2458487604949577,50.48393359808927,8.499804808852543e-57,TRUE,0.17663721024234103,0.15311255910640797
HGB,grupaCHOR2,0.06610469999999961,0.3441882646929407,0.19205971493238833,0.8482515001639112,FALSE,0.17663721024234103,0.15311255910640797
HGB,grupaKONTROLA,-1.1277000000000006,0.3476826513845842,-3.2434750353782,0.0018109711956471298,TRUE,0.17663721024234103,0.15311255910640797
HCT,(Intercept),0.363808,0.006562739062312318,55.43539009332724,8.430899069805269e-61,TRUE,0.09943751223554059,0.0744218875754169
HCT,grupaCHOR2,-0.008479999999999991,0.009281114588237773,-0.9136833641453951,0.3639328199685008,FALSE,0.09943751223554059,0.0744218875754169
HCT,grupaKONTROLA,-0.025679999999999994,0.009281114588237773,-2.766909055572378,0.00718722038128381,TRUE,0.09943751223554059,0.0744218875754169
MCHC,(Intercept),35.13347199999999,0.1899082154899749,185.0023808046085,3.686017400316983e-98,TRUE,0.15348550025485386,0.12997120859526656
MCHC,grupaCHOR2,0.2724040000000053,0.26857077395199497,1.0142726849671868,0.3138490057209345,FALSE,0.15348550025485386,0.12997120859526656
MCHC,grupaKONTROLA,-0.6703795999999953,0.26857077395199497,-2.4961003393460106,0.014847439351172708,TRUE,0.15348550025485386,0.12997120859526656
MON,(Intercept),0.8467916666666666,0.05080226683843266,16.668383506581172,3.0154335071763975e-26,TRUE,0.03187232390135569,0.004601121757731863
MON,grupaCHOR2,-0.10249166666666669,0.07112317357380574,-1.4410446204331606,0.15396795089829984,FALSE,0.03187232390135569,0.004601121757731863
MON,grupaKONTROLA,-0.08353166666666652,0.07112317357380571,-1.1744648399299042,0.24413306546089572,FALSE,0.03187232390135569,0.004601121757731863
LEU,(Intercept),12.043039999999992,0.49844277304420787,24.161329346692867,2.865616164125811e-36,TRUE,0.013537747309957202,-0.01386398193143279
LEU,grupaCHOR2,-0.019719999999998447,0.7049045297059736,-0.027975419605012267,0.9777591531030183,FALSE,0.013537747309957202,-0.01386398193143279
LEU,grupaKONTROLA,-0.6164399999999988,0.7049045297059736,-0.8745014027036048,0.38475300393665035,FALSE,0.013537747309957202,-0.01386398193143279
