variable,wiek,hsCRP,ERY,PLT,HGB,HCT,MCHC,MON,LEU
wiek,1,-0.03609875242766407,0.08997946151031834,0.07224920447978951,0.01913111734212081,0.014576059533416914,-0.30614590890888743,-0.019362286440765267,-0.3099926852998286
hsCRP,-0.03609875242766407,1,0.05945156623045271,0.06807765680960247,-0.056612904362628134,0.029442865169017892,-0.16901775259925184,0.1662006445620059,0.2201101808206117
ERY,0.08997946151031834,0.05945156623045271,1,0.26646251151270584,0.6929626844647852,0.6767469070640993,0.023783953280569745,-0.24627961800016251,0.05690448419292936
PLT,0.07224920447978951,0.06807765680960247,0.26646251151270584,1,-0.024802652747988187,0.10109955461569256,-0.3219686458224864,0.11183146570511722,0.18823526693696396
HGB,0.01913111734212081,-0.056612904362628134,0.6929626844647852,-0.024802652747988187,1,0.8673407031929729,0.4918454311907546,-0.25297145972576957,0.03986192783942897
HCT,0.014576059533416914,0.029442865169017892,0.6767469070640993,0.10109955461569256,0.8673407031929729,1,0.23785319623284867,-0.15586522470284592,0.02758401533239312
MCHC,-0.30614590890888743,-0.16901775259925184,0.023783953280569745,-0.3219686458224864,0.4918454311907546,0.23785319623284867,1,-0.17578261849400828,0.11487418766012629
MON,-0.019362286440765267,0.1662006445620059,-0.24627961800016251,0.11183146570511722,-0.25297145972576957,-0.15586522470284592,-0.17578261849400828,1,0.19436835852921602
LEU,-0.3099926852998286,0.2201101808206117,0.05690448419292936,0.18823526693696396,0.03986192783942897,0.02758401533239312,0.11487418766012629,0.19436835852921602,1
