variable,wiek,hsCRP,ERY,PLT,HGB,HCT,MCHC,MON,LEU
wiek,1,-0.037448932948475844,0.08554517649789066,0.058390151253571894,0.016188948281474238,-0.010386539828490571,-0.2570085517808302,-0.08597603834567319,-0.32651885115463886
hsCRP,-0.037448932948475844,1,0.10924241667023939,0.07788635698521995,-0.040870115268857886,0.004673010076365446,-0.11363258025105531,0.05935298340914775,0.2937179346262694
ERY,0.08554517649789066,0.10924241667023939,1,0.2305476898039062,0.7031171152303083,0.6937248593013846,0.04079928808794704,-0.3003628525355984,0.08410350628124909
PLT,0.058390151253571894,0.07788635698521995,0.2305476898039062,1,-0.01612579789969192,0.09675317367003021,-0.3630574516361608,0.07938921502700005,0.15951226368408677
HGB,0.016188948281474238,-0.040870115268857886,0.7031171152303083,-0.01612579789969192,1,0.8864641186016122,0.46359638543230763,-0.285368105346305,0.05248539758785935
HCT,-0.010386539828490571,0.004673010076365446,0.6937248593013846,0.09675317367003021,0.8864641186016122,1,0.2618624143830961,-0.19875296704756054,0.04056304111238611
MCHC,-0.2570085517808302,-0.11363258025105531,0.04079928808794704,-0.3630574516361608,0.46359638543230763,0.2618624143830961,1,-0.14199722892270938,0.09914119203623505
MON,-0.08597603834567319,0.05935298340914775,-0.3003628525355984,0.07938921502700005,-0.285368105346305,-0.19875296704756054,-0.14199722892270938,1,0.1545230824123203
LEU,-0.32651885115463886,0.2937179346262694,0.08410350628124909,0.15951226368408677,0.05248539758785935,0.04056304111238611,0.09914119203623505,0.1545230824123203,1
